Area Code,Area,Item Code,Item,Months Code,Months,Unit,Y2000,Y2000F,Y2000N,Y2001,Y2001F,Y2001N,Y2002,Y2002F,Y2002N,Y2003,Y2003F,Y2003N,Y2004,Y2004F,Y2004N,Y2005,Y2005F,Y2005N,Y2006,Y2006F,Y2006N,Y2007,Y2007F,Y2007N,Y2008,Y2008F,Y2008N,Y2009,Y2009F,Y2009N,Y2010,Y2010F,Y2010N,Y2011,Y2011F,Y2011N,Y2012,Y2012F,Y2012N,Y2013,Y2013F,Y2013N,Y2014,Y2014F,Y2014N,Y2015,Y2015F,Y2015N,Y2016,Y2016F,Y2016N,Y2017,Y2017F,Y2017N,Y2018,Y2018F,Y2018N,Y2019,Y2019F,Y2019N,Y2020,Y2020F,Y2020N,Y2021,Y2021F,Y2021N
"144","Mozambique","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","27.073608","F","base year is 2015","29.752492","F","base year is 2015","34.204250","F","base year is 2015","41.427301","F","base year is 2015","45.275185","X","base year is 2015","48.347241","X","base year is 2015","54.462275","X","base year is 2015","59.350820","X","base year is 2015","68.776977","X","base year is 2015","69.685625","X","base year is 2015","80.343126","X","base year is 2015","88.368098","X","base year is 2015","89.735315","X","base year is 2015","93.794507","X","base year is 2015","95.883547","X","base year is 2015","98.499093","X","base year is 2015","121.494102","X","base year is 2015","134.566698","X","base year is 2015","141.144105","X","base year is 2015","143.974739","X","base year is 2015","148.270798","X","base year is 2015","156.702100","F","base year is 2015"
"144","Mozambique","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","27.335471","F","base year is 2015","29.962859","F","base year is 2015","34.628768","F","base year is 2015","42.088356","F","base year is 2015","45.553076","X","base year is 2015","48.475875","X","base year is 2015","54.855632","X","base year is 2015","60.132087","X","base year is 2015","69.328959","X","base year is 2015","70.067766","X","base year is 2015","80.767728","X","base year is 2015","88.444526","X","base year is 2015","90.032536","X","base year is 2015","94.015300","X","base year is 2015","96.010928","X","base year is 2015","100.562657","X","base year is 2015","124.453935","X","base year is 2015","134.848587","X","base year is 2015","141.249813","X","base year is 2015","144.421063","X","base year is 2015","149.062843","X","base year is 2015",,,
"144","Mozambique","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","27.597333","F","base year is 2015","30.173225","F","base year is 2015","35.053285","F","base year is 2015","42.749412","F","base year is 2015","46.040902","X","base year is 2015","49.733292","X","base year is 2015","55.646168","X","base year is 2015","61.278512","X","base year is 2015","70.110226","X","base year is 2015","70.849033","X","base year is 2015","81.871692","X","base year is 2015","88.911588","X","base year is 2015","90.983644","X","base year is 2015","94.660694","X","base year is 2015","96.359101","X","base year is 2015","102.405429","X","base year is 2015","126.756027","X","base year is 2015","135.823453","X","base year is 2015","141.625665","X","base year is 2015","145.278475","X","base year is 2015","150.013297","X","base year is 2015",,,
"144","Mozambique","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","27.859195","X","base year is 2015","30.383591","X","base year is 2015","35.477803","X","base year is 2015","43.410467","X","base year is 2015","46.720059","X","base year is 2015","51.928265","X","base year is 2015","56.795896","X","base year is 2015","63.240171","X","base year is 2015","70.713161","X","base year is 2015","72.309663","X","base year is 2015","84.920332","X","base year is 2015","90.134441","X","base year is 2015","91.951736","X","base year is 2015","95.204184","X","base year is 2015","97.038464","X","base year is 2015","107.279856","X","base year is 2015","129.974259","X","base year is 2015","137.315115","X","base year is 2015","142.154207","X","base year is 2015","147.134243","X","base year is 2015","152.310227","X","base year is 2015",,,
"144","Mozambique","23014","Food price inflation","7001","January","%",,,,"7.737116","Fc",,"11.463469","Fc",,"18.862471","Fc",,"12.333749","Fc",,"10.353687","Fc",,"6.453566","Fc",,"16.396411","Fc",,"15.062420","Fc",,"15.905197","Fc",,"5.358463","Fc",,"20.016369","Fc",,"4.929372","Fc",,"4.252159","Fc",,"3.446433","Fc",,"5.096419","Fc",,"18.029133","Fc",,"29.949956","Fc",,"-1.481792","Fc",,"1.070700","Fc",,"7.650916","Fc",,"9.146357","Fc",
"144","Mozambique","23014","Food price inflation","7002","February","%",,,,"8.018118","Fc",,"12.263260","Fc",,"18.191263","Fc",,"12.185015","Fc",,"9.867169","Fc",,"7.459544","Fc",,"15.767019","Fc",,"18.048542","Fc",,"12.377536","Fc",,"8.472495","Fc",,"18.349559","Fc",,"2.955524","Fc",,"6.456708","Fc",,"2.199145","Fc",,"7.360601","Fc",,"17.345577","Fc",,"27.953676","Fc",,"-1.652412","Fc",,"0.945626","Fc",,"7.878889","Fc",,"11.480335","Fc",
"144","Mozambique","23014","Food price inflation","7003","March","%",,,,"8.295693","Fc",,"13.049224","Fc",,"17.540912","Fc",,"12.039281","Fc",,"9.389216","Fc",,"8.456526","Fc",,"14.729390","Fc",,"18.190661","Fc",,"11.728395","Fc",,"9.392265","Fc",,"16.655443","Fc",,"4.146623","Fc",,"6.235566","Fc",,"3.652174","Fc",,"5.503356","Fc",,"18.015607","Fc",,"26.330798","Fc",,"-0.785887","Fc",,"1.912868","Fc",,"7.292872","Fc",,"12.658556","Fc",
"144","Mozambique","23014","Food price inflation","7004","April","%",,,,"8.569905","Fc",,"13.821715","Fc",,"16.910460","Fc",,"11.896460","Fc",,"8.919603","Fc",,"9.444631","Fc",,"13.976563","Fc",,"17.968121","Fc",,"10.331650","Fc",,"11.281544","Fc",,"15.484660","Fc",,"3.648089","Fc",,"6.621471","Fc",,"4.102430","Fc",,"2.551874","Fc",,"24.156455","Fc",,"24.052328","Fc",,"-2.001163","Fc",,"2.982545","Fc",,"7.339148","Fc",,"11.202120","Fc",
"144","Mozambique","23014","Food price inflation","7005","May","%",,,,"8.840812","Fc",,"14.581078","Fc",,"16.299008","Fc",,"11.756463","Fc",,"8.458114","Fc",,"10.423979","Fc",,"12.356440","Fc",,"17.356970","Fc",,"7.896182","Fc",,"16.011200","Fc",,"13.889194","Fc",,"2.620171","Fc",,"6.486436","Fc",,"4.495769","Fc",,"1.054496","Fc",,"26.409666","Fc",,"22.753623","Fc",,"-0.632484","Fc",,"2.529067","Fc",,"7.226223","Fc",,"10.862933","Fc",
"144","Mozambique","23014","Food price inflation","7006","June","%",,,,"9.108476","Fc",,"15.327645","Fc",,"15.705710","Fc",,"11.619208","Fc",,"8.004540","Fc",,"11.394685","Fc",,"9.903074","Fc",,"18.585366","Fc",,"6.746195","Fc",,"18.574181","Fc",,"11.472213","Fc",,"2.682216","Fc",,"6.057164","Fc",,"4.631447","Fc",,"1.040512","Fc",,"28.175386","Fc",,"19.262930","Fc",,"0.467411","Fc",,"3.299733","Fc",,"6.588824","Fc",,"10.495648","Fc",
