ID,sec14,sec15,sec16,sec17
224,1,1,1,1.33333333333333
225,2.75,2,2.33333333333333,2.66666666666667
226,1.25,1.25,1,1.33333333333333
227,1,1,1,1.33333333333333
228,1,1,1.33333333333333,1.33333333333333
229,1.25,1,1,1
230,1,1,1,1
231,1,1,1,1
232,1,1,1,1
233,1,1,1,1
234,1,1,1,1
235,1,1,1,1
236,NA,NA,NA,NA
237,NA,NA,NA,NA
238,NA,NA,NA,NA
239,NA,NA,NA,NA
240,NA,NA,NA,NA
241,1,1,1,1
242,NA,NA,NA,NA
243,NA,NA,NA,NA
244,NA,NA,NA,NA
245,NA,NA,NA,NA
246,1,1,1,1
247,1,1,1,1
248,1,1,1,1
249,1,1,1,1
250,1,1,1,1
251,1.5,1.5,1,1.33333333333333
252,1.5,1.5,1.66666666666667,1.33333333333333
253,1.5,1.5,1,1.33333333333333
254,1,1,1,1
255,1,1,1,1
256,1,1,1,1
257,1,1,1,1
258,1,1,1,1
259,1,1,1,1
260,1,1,1,1
261,1,1,1,1
262,1,1,1,1
263,1,1,1,1
264,NA,NA,1,NA
265,NA,NA,1,NA
266,NA,NA,1,NA
267,NA,NA,1,NA
268,NA,NA,1,NA
269,NA,NA,1,NA
270,NA,NA,1,NA
271,NA,NA,1,NA
272,NA,NA,1,NA
273,NA,NA,1,NA
274,NA,NA,1,NA
275,NA,NA,1,NA
276,NA,NA,1,NA
277,NA,NA,NA,NA
278,1,1,1,1
279,1,1,1,1
280,NA,NA,1,NA
281,1,1,1,1
282,1,1,1,1
283,1,1,1,1
284,1,1,1,1
285,1,1,1,1
286,NA,NA,NA,NA
287,1,1,1,1
288,1,1,1,1
289,1,1,1,1.66666666666667
290,1,1,1,1.66666666666667
291,1,1,1,1.66666666666667
292,1,1,1,1
293,1,1,1,1
294,1,1,1,1
295,1,1,1,1
296,1.75,1.75,1.66666666666667,2
297,1,1,1,1
298,1,1,1,1
299,1.5,1.5,2.33333333333333,2.66666666666667
300,1,1,1,1
301,2.25,2,2,2.33333333333333
302,2.25,2.5,2,2.66666666666667
303,NA,NA,NA,NA
304,NA,NA,NA,NA
305,NA,NA,NA,NA
306,1,1,1,1
307,1,1.5,1,1
308,NA,NA,NA,NA
309,NA,NA,NA,NA
310,NA,NA,NA,NA
311,NA,NA,NA,NA
312,NA,NA,NA,NA
313,NA,NA,NA,NA
314,NA,NA,NA,NA
315,NA,NA,NA,NA
316,NA,NA,NA,NA
317,NA,NA,NA,NA
318,NA,NA,NA,NA
319,1.5,1,1,1
320,2.25,1.75,2.33333333333333,2.66666666666667
321,2,1.25,2.33333333333333,2.33333333333333
322,1.25,1,1,1
323,2.25,1,1.66666666666667,2
324,NA,NA,NA,NA
325,NA,NA,NA,NA
326,NA,NA,NA,NA
327,1,1,1,1
328,NA,NA,NA,NA
329,NA,NA,NA,NA
330,NA,NA,NA,NA
331,NA,NA,NA,NA
332,NA,NA,NA,NA
333,2,2,1.33333333333333,2
334,2,2,1.33333333333333,2
335,NA,NA,NA,NA
336,1,1,1,1
337,NA,NA,NA,NA
338,1.75,2,1,1.66666666666667
339,1.75,2,1.33333333333333,1.66666666666667
340,1,1,1,1.33333333333333
341,1,1,1,1
342,1,1,1,1
343,1,1,1,1
344,1,1,1,1
345,NA,NA,NA,NA
346,NA,NA,NA,NA
347,NA,NA,NA,NA
348,NA,NA,NA,NA
349,NA,NA,NA,NA
350,2,2.5,1,1
351,1,1,1,1
352,1.5,1.5,1,1
353,2,2.25,1,1
354,1,1,1,1
355,1.5,1.25,1,1
356,1.5,1.5,1,1
357,1.5,1.25,1,1
358,1.25,1.25,1,1
359,1,1,1,1
360,1,1.25,1.66666666666667,1.33333333333333
361,1,1,1,1.33333333333333
362,1,1,1,1
363,NA,NA,NA,NA
364,NA,NA,NA,NA
365,NA,NA,NA,NA
366,NA,NA,NA,NA
367,NA,NA,NA,NA
368,NA,NA,NA,NA
369,1,1.25,1.66666666666667,1.33333333333333
370,1,1,1.66666666666667,1.66666666666667
371,1,1,2,1.66666666666667
372,1,1,2.33333333333333,1.66666666666667
373,1,1.5,2.66666666666667,2
374,1,1.75,3,1.66666666666667
375,NA,NA,NA,NA
376,NA,NA,NA,NA
377,NA,NA,NA,2.33333333333333
378,NA,NA,NA,NA
379,NA,NA,NA,NA
380,NA,NA,NA,1.33333333333333
381,NA,NA,NA,NA
382,NA,NA,NA,NA
383,NA,NA,NA,NA
