"","V1"
"1",42.7637096768931
"2",236.563186645508
"3",144.458711273631
"4",15.2899898966602
"5",15.0498911560822
"6",6.94715583034924
"7",7.28301797503241
"8",8.0762274028683
"9",12.6107359461009
"10",14.2245847484951
"11",9.06706448742804
"12",54.9412112492549
"13",111.136510844529
"14",47.5574047019808
"15",35.2654527590825
"16",21.7787827738605
"17",44.0861111453451
"18",81.6704424392609
"19",13.5876963732601
"20",6.52078162493377
"21",4.24791858177372
"22",0.423469195483213
"23",3.93271736789679
"24",1.29495541455222
"25",1.63706845563597
"26",17.2794020605016
"27",3.35328743540105
"28",4.85568082988134
"29",23.9770733609432
"30",14.6482365149224
"31",196.632431466814
"32",607.913907834726
"33",49.0891238739772
"34",25.3658347040007
"35",9.19781583121845
"36",0.396088296250107
"37",2.36375262036543
"38",5.59148561954498
"39",152.204711914062
"40",183.436935217984
"41",1.13610890113822
"42",3.11550403919811
"43",37.7008061762405
"44",35.0681654757924
"45",48.1507272128673
"46",9.40744428713732
"47",84.3960277071366
"48",33.1666734681369
"49",84.8666111115926
"50",146.914898490906
"51",52.913623845178
"52",15.0122841870563
"53",54.5664814976813
"54",37.251386194813
"55",28.5849116428478
"56",95.2834759164364
"57",148.206889102333
"58",84.8902289374581
"59",27.0241443120516
"60",58.8599542538325
"61",10.5118118851586
"62",32.1238536877292
"63",1.16218495495893
"64",25.9156244482313
"65",23.1502838844527
"66",1.06398950059897
"67",4.48812265874281
"68",0.930440980595394
"69",10.0654690763928
"70",25.8088282389805
"71",30.6641834168001
"72",40.0324442075646
"73",11.440492652985
"74",17.2271370822473
"75",10.4227625906467
"76",60.0320643083631
"77",54.6009393695054
"78",17.2741798424533
"79",12.653421576121
"80",46.0379042352949
"81",8.49658614938909
"82",7.46815954304453
"83",15.454743796587
"84",14.1347840859485
"85",21.5157200353063
"86",20.4218598157167
"87",18.2397018819073
"88",18.367474656105
"89",74.3077698964339
"90",57.7936966924956
"91",16.6341446406713
"92",7.38203931474066
"93",15.0708074023326
"94",21.379514999077
"95",44.1582231193781
"96",24.3373799475413
"97",100.356054859206
"98",26.6937323752616
"99",60.2568150005318
"100",39.6276146067251
"101",77.2938928843685
"102",254.874261483789
"103",180.986267089844
"104",50.7469508380033
"105",229.479755542896
"106",3071.56955171668
"107",708.275509134928
"108",64.1452011760277
"109",23.9883648468431
"110",1.21038898422861
"111",10.9645286666305
"112",3.75239440640819
"113",12.7967754418899
"114",15.6103192605078
"115",497.867752075195
"116",27.6464463288812
"117",23.0645603728761
"118",63.599436207175
"119",1.35262147413451
"120",0.708543534314935
"121",87.4889306015181
"122",37.2029270115826
"123",410.799903021918
"124",219.091741179561
"125",431.978256952195
